token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
17094,CROMPTON-EQ,CROMPTON,,-1,1,,NSE,5
11441,LICNETFSEN-EQ,LICNETFSEN,,-1,1,,NSE,1
13116,QUICKHEAL-EQ,QUICKHEAL,,-1,1,,NSE,5
2088,MAHSEAMLES-EQ,MAHSEAMLES,,-1,1,,NSE,5
2711,PRECOT-EQ,PRECOT,,-1,1,,NSE,5
2435,NETFCONSUM-EQ,NETFCONSUM,,-1,1,,NSE,1
8687,MUKTAARTS-EQ,MUKTAARTS,,-1,1,,NSE,5
4907,ENGINERSIN-EQ,ENGINERSIN,,-1,1,,NSE,5
426,BHARATGEAR-EQ,BHARATGEAR,,-1,1,,NSE,5
24292,VSTTILLERS-EQ,VSTTILLERS,,-1,1,,NSE,5
11309,BALAXI-EQ,BALAXI,,-1,1,,NSE,5
13826,SOBHA-EQ,SOBHA,,-1,1,,NSE,5
13688,GATI-EQ,GATI,,-1,1,,NSE,5
3024,JINDALSAW-EQ,JINDALSAW,,-1,1,,NSE,5
1053,UFLEX-EQ,UFLEX,,-1,1,,NSE,5
5748,CYIENT-EQ,CYIENT,,-1,1,,NSE,5
330,VALIANTORG-EQ,VALIANTORG,,-1,1,,NSE,5
11427,NDTV-EQ,NDTV,,-1,1,,NSE,5
20071,INTENTECH-EQ,INTENTECH,,-1,1,,NSE,5
21339,STEELXIND-EQ,STEELXIND,,-1,1,,NSE,5
7229,HCLTECH-EQ,HCLTECH,,-1,1,,NSE,5
14932,ISMTLTD-EQ,ISMTLTD,,-1,1,,NSE,5
9007,NOVARTIND-EQ,NOVARTIND,,-1,1,,NSE,5
14361,APOLLOPIPE-EQ,APOLLOPIPE,,-1,1,,NSE,5
3357,SUPERSPIN-EQ,SUPERSPIN,,-1,1,,NSE,5
19036,PODDARMENT-EQ,PODDARMENT,,-1,1,,NSE,5
16669,BAJAJ-AUTO-EQ,BAJAJ-AUTO,,-1,1,,NSE,5
